Geneid	Chrom	Start	End	Length	chr.1	start.1	end.1	width.1	strand.1	genes	GeneSymbol	annotation
Interval_4539	chr1	131019577	131020171	595	1	131019845	131024974	5130	+	ENSMUSG00000016529	Il10	Promoter (<=1kb)
Interval_4542	chr1	131025088	131026376	1289	1	131019845	131024974	5130	+	ENSMUSG00000016529	Il10	Downstream (<=300bp)
Interval_45588	chr16	43719063	43719555	493	16	43694097	43710832	16736	-	ENSMUSG00000116684	Gm49735	Distal Intergenic
Interval_45589	chr16	43720440	43720970	531	16	43694097	43710832	16736	-	ENSMUSG00000116684	Gm49735	Distal Intergenic
Interval_45646	chr16	44494506	44495087	582	16	44485049	44558897	73849	-	ENSMUSG00000022687	Boc	Intron (ENSMUST00000023370.10/ENSMUSG00000022687.11, intron 8 of 18)
Interval_45999	chr16	55702499	55703229	731	16	55739918	55740152	235	+	ENSMUSG00000116969	Gm19771	Distal Intergenic
Interval_46083	chr16	57130807	57131654	848	16	57121703	57156705	35003	+	ENSMUSG00000022752	Tomm70a	Intron (ENSMUST00000166897.1/ENSMUSG00000022752.8, intron 1 of 11)
Interval_46388	chr16	75929342	75930577	1236	16	75858793	76022281	163489	-	ENSMUSG00000022876	Samsn1	Intron (ENSMUST00000114240.1/ENSMUSG00000022876.17, intron 7 of 13)
Interval_46870	chr16	91885426	91886070	645	16	91684398	91926982	242585	-	ENSMUSG00000116933	Atp5o	Promoter (1-2kb)
Interval_4727	chr1	132530542	132531484	943	1	132509427	132543256	33830	-	ENSMUSG00000053024	Cntn2	Promoter (2-3kb)
Interval_47296	chr16	95745719	95745977	259	16	95754300	95754707	408	+	ENSMUSG00000117167	Gm6599	Distal Intergenic
Interval_47754	chr17	5994513	5995239	727	17	5941280	6044290	103011	+	ENSMUSG00000023805	Synj2	Promoter (<=1kb)
Interval_48622	chr17	22892512	22893068	557	17	22895714	22897595	1882	+	ENSMUSG00000117141	Gm18214	Distal Intergenic
Interval_48716	chr17	24137376	24137799	424	17	24073680	24150924	77245	-	ENSMUSG00000024122	Pdpk1	Intron (ENSMUST00000102927.9/ENSMUSG00000024122.16, intron 1 of 13)
Interval_49169	chr17	27702188	27702961	774	17	27655509	27711482	55974	+	ENSMUSG00000040276	Pacsin1	Exon (ENSMUST00000114873.7/ENSMUSG00000040276.14, exon 3 of 10)
Interval_49349	chr17	29062265	29063202	938	17	29057430	29079179	21750	-	ENSMUSG00000085912	Trp53cor1	Promoter (2-3kb)
Interval_49365	chr17	29143066	29143762	697	17	29114145	29148980	34836	+	ENSMUSG00000064147	Rab44	Intron (ENSMUST00000087942.4/ENSMUSG00000064147.6, intron 3 of 7)
Interval_49762	chr17	32254558	32255024	467	17	32196274	32284722	88449	-	ENSMUSG00000024002	Brd4	Intron (ENSMUST00000119123.7/ENSMUSG00000024002.16, intron 1 of 19)
Interval_50632	chr17	46074833	46075565	733	17	46067335	46084266	16932	-	ENSMUSG00000117287	Gm36200	Distal Intergenic
Interval_51171	chr17	52067652	52068321	670	17	51986415	52163976	177562	+	ENSMUSG00000100150	Gm19585	Distal Intergenic
Interval_51182	chr17	52168075	52169098	1024	17	51986415	52163976	177562	+	ENSMUSG00000100150	Gm19585	Distal Intergenic
Interval_51913	chr17	71221223	71221883	661	17	71182560	71249817	67258	+	ENSMUSG00000024052	Lpin2	Intron (ENSMUST00000180743.1/ENSMUSG00000097625.1, intron 3 of 3)
Interval_52128	chr17	74200875	74201602	728	17	74199036	74295521	96486	-	ENSMUSG00000058704	Memo1	3' UTR
Interval_52248	chr17	78248207	78249354	1148	17	78200248	78376592	176345	+	ENSMUSG00000024074	Crim1	Intron (ENSMUST00000112498.2/ENSMUSG00000024074.7, intron 2 of 16)
Interval_53345	chr18	6444188	6444766	579	18	6435951	6516108	80158	-	ENSMUSG00000024240	Epc1	Promoter (2-3kb)
Interval_53766	chr18	23808559	23808830	272	18	23752333	23893861	141529	+	ENSMUSG00000024277	Mapre2	Intron (ENSMUST00000170802.7/ENSMUSG00000024277.14, intron 2 of 7)
Interval_54234	chr18	35563504	35563888	385	18	35553404	35587708	34305	+	ENSMUSG00000117694	Snhg4	Promoter (<=1kb)
Interval_54319	chr18	36192797	36193830	1034	18	36017652	36197380	179729	-	ENSMUSG00000060275	Nrg2	Intron (ENSMUST00000115712.7/ENSMUSG00000060275.11, intron 1 of 9)
Interval_54975	chr18	53858211	53858393	183	18	53862122	53955548	93427	+	ENSMUSG00000073563	Csnk1g3	Distal Intergenic
Interval_55045	chr18	55040058	55041145	1088	18	54990265	55079414	89150	+	ENSMUSG00000096948	Gm4221	Intron (ENSMUST00000181538.1/ENSMUSG00000096948.1, intron 1 of 4)
Interval_55116	chr18	56716187	56716912	726	18	56707813	56753424	45612	+	ENSMUSG00000024590	Lmnb1	Intron (ENSMUST00000025486.8/ENSMUSG00000024590.8, intron 1 of 10)
Interval_55117	chr18	56717494	56718931	1438	18	56707813	56753424	45612	+	ENSMUSG00000024590	Lmnb1	Intron (ENSMUST00000025486.8/ENSMUSG00000024590.8, intron 1 of 10)
Interval_55183	chr18	57410400	57410973	574	18	57373455	57552397	178943	-	ENSMUSG00000086607	4930511M06Rik	Intron (ENSMUST00000130696.7/ENSMUSG00000086607.7, intron 3 of 3)
Interval_55260	chr18	60728761	60729819	1059	18	60684494	60748650	64157	-	ENSMUSG00000054008	Ndst1	Distal Intergenic
Interval_5564	chr1	151717405	151718854	1450	1	151571186	151721939	150754	+	ENSMUSG00000026483	Fam129a	3' UTR
Interval_55642	chr18	65695182	65695853	672	18	65698268	65751601	53334	+	ENSMUSG00000046610	Oacyl	Promoter (2-3kb)
Interval_5565	chr1	151723967	151724479	513	1	151571186	151721939	150754	+	ENSMUSG00000026483	Fam129a	Distal Intergenic
Interval_5569	chr1	151757104	151757421	318	1	151755371	151822051	66681	+	ENSMUSG00000043019	Edem3	Promoter (1-2kb)
Interval_5571	chr1	151766068	151766480	413	1	151755371	151822051	66681	+	ENSMUSG00000043019	Edem3	Intron (ENSMUST00000188145.6/ENSMUSG00000043019.12, intron 2 of 20)
Interval_56058	chr18	74294100	74295278	1179	18	74283090	74359986	76897	+	ENSMUSG00000035394	Cfap53	Promoter (<=1kb)
Interval_56454	chr18	79284001	79284931	931	18	79303557	79305162	1606	-	ENSMUSG00000117828	Gm2116	Distal Intergenic
Interval_56455	chr18	79293527	79294442	916	18	79303557	79305162	1606	-	ENSMUSG00000117828	Gm2116	Distal Intergenic
Interval_56457	chr18	79297815	79298338	524	18	79303557	79305162	1606	-	ENSMUSG00000117828	Gm2116	Distal Intergenic
Interval_56467	chr18	79588836	79589570	735	18	79574514	79575360	847	-	ENSMUSG00000118130	Gm50176	Distal Intergenic
Interval_56534	chr18	80422536	80423637	1102	18	80407959	80469695	61737	-	ENSMUSG00000033323	Ctdp1	Intron (ENSMUST00000036229.12/ENSMUSG00000033323.13, intron 11 of 12)
Interval_56753	chr18	82992220	82993164	945	18	82910663	83005314	94652	+	ENSMUSG00000058881	Zfp516	Exon (ENSMUST00000171238.7/ENSMUSG00000058881.12, exon 4 of 6)
Interval_5811	chr1	154802048	154802978	931	1	154390731	154884501	493771	-	ENSMUSG00000004110	Cacna1e	Intron (ENSMUST00000188965.6/ENSMUSG00000004110.14, intron 1 of 13)
Interval_5814	chr1	154816506	154817365	860	1	154390731	154884501	493771	-	ENSMUSG00000004110	Cacna1e	Promoter (<=1kb)
Interval_58159	chr19	21728400	21728853	454	19	21729270	21729745	476	+	ENSMUSG00000118055	Gm50129	Distal Intergenic
Interval_5820	chr1	154841100	154841662	563	1	154390731	154884501	493771	-	ENSMUSG00000004110	Cacna1e	Intron (ENSMUST00000188321.1/ENSMUSG00000004110.14, intron 1 of 3)
Interval_58646	chr19	32671726	32672394	669	19	32671638	32739786	68149	-	ENSMUSG00000013662	Atad1	Distal Intergenic
Interval_59141	chr19	41597161	41598225	1065	19	41600257	41743665	143409	-	ENSMUSG00000025020	Slit1	Distal Intergenic
Interval_59149	chr19	41649462	41649741	280	19	41600257	41743665	143409	-	ENSMUSG00000025020	Slit1	Exon (ENSMUST00000169141.7/ENSMUSG00000025020.11, exon 9 of 36)
Interval_59480	chr19	45541073	45542123	1051	19	45552275	45560531	8257	-	ENSMUSG00000025218	Poll	Distal Intergenic
Interval_5992	chr1	156841713	156842634	922	1	156804166	156939626	135461	-	ENSMUSG00000026594	Ralgps2	Promoter (2-3kb)
Interval_60182	chr19	57355359	57356233	875	19	57323193	57360775	37583	-	ENSMUSG00000097785	B230217O12Rik	Intron (ENSMUST00000181921.1/ENSMUSG00000097785.1, intron 1 of 2)
Interval_60329	chr19	59417627	59418591	965	19	59425104	59458635	33532	-	ENSMUSG00000087095	Emx2os	Distal Intergenic
Interval_60330	chr19	59423297	59424145	849	19	59425104	59458635	33532	-	ENSMUSG00000087095	Emx2os	Distal Intergenic
Interval_60713	chr2	6358545	6360344	1800	2	6322667	6446390	123724	+	ENSMUSG00000039046	Usp6nl	Intron (ENSMUST00000114937.7/ENSMUSG00000039046.15, intron 2 of 14)
Interval_60769	chr2	6871743	6873157	1415	2	6539694	7509563	969870	-	ENSMUSG00000002107	Celf2	Promoter (<=1kb)
Interval_60773	chr2	7090503	7090912	410	2	6539694	7509563	969870	-	ENSMUSG00000002107	Celf2	Intron (ENSMUST00000002176.12/ENSMUSG00000002107.18, intron 2 of 15)
Interval_61136	chr2	18920527	18920939	413	2	18842255	18998126	155872	-	ENSMUSG00000026737	Pip4k2a	Intron (ENSMUST00000006912.11/ENSMUSG00000026737.12, intron 1 of 9)
Interval_61379	chr2	24794574	24795623	1050	2	24789928	24919614	129687	-	ENSMUSG00000036893	Ehmt1	Intron (ENSMUST00000147147.7/ENSMUSG00000036893.17, intron 25 of 26)
Interval_6140	chr1	160024289	160025986	1698	1	160041701	160044331	2631	-	ENSMUSG00000104111	Gm37294	Distal Intergenic
Interval_62326	chr2	32970484	32970744	261	2	32972990	32982083	9094	-	ENSMUSG00000026791	Slc2a8	Distal Intergenic
Interval_62972	chr2	46325352	46325915	564	2	46306336	46306458	123	+	ENSMUSG00000088868	Gm23072	Distal Intergenic
Interval_63097	chr2	50842581	50843311	731	2	50909684	50911849	2166	+	ENSMUSG00000083270	Gm13498	Distal Intergenic
Interval_63117	chr2	51146892	51148676	1785	2	51130438	51149111	18674	-	ENSMUSG00000017144	Rnd3	Promoter (<=1kb)
Interval_63280	chr2	58137525	58138086	562	2	58129137	58195532	66396	-	ENSMUSG00000026832	Cytip	Exon (ENSMUST00000028175.6/ENSMUSG00000026832.12, exon 7 of 8)
Interval_63315	chr2	58601409	58601946	538	2	58567298	58792971	225674	+	ENSMUSG00000026839	Upp2	Intron (ENSMUST00000135737.1/ENSMUSG00000026839.16, intron 1 of 1)
Interval_63842	chr2	70943426	70944202	777	2	70964561	71055583	91023	-	ENSMUSG00000041975	Mettl8	Distal Intergenic
Interval_63951	chr2	72139958	72141637	1680	2	71981240	72257474	276235	+	ENSMUSG00000049044	Rapgef4	Promoter (<=1kb)
Interval_64287	chr2	79230739	79231452	714	2	79255426	79333123	77698	+	ENSMUSG00000027009	Itga4	Distal Intergenic
Interval_6429	chr1	164511489	164512378	890	1	164503309	164514882	11574	+	ENSMUSG00000097281	Gm26685	Intron (ENSMUST00000181831.2/ENSMUSG00000097281.2, intron 2 of 2)
Interval_64440	chr2	84779119	84779653	535	2	84765387	84775444	10058	-	ENSMUSG00000023224	Serping1	Distal Intergenic
Interval_64442	chr2	84793841	84794307	467	2	84798828	84810335	11508	+	ENSMUSG00000027078	Ube2l6	Distal Intergenic
Interval_654	chr1	34164331	34164893	563	1	33908225	34308661	400437	+	ENSMUSG00000026131	Dst	Promoter (2-3kb)
Interval_65841	chr2	121177712	121178447	736	2	121170654	121198770	28117	+	ENSMUSG00000027263	Tubgcp4	Intron (ENSMUST00000144123.7/ENSMUSG00000027263.12, intron 5 of 7)
Interval_66051	chr2	125722580	125724814	2235	2	125627447	125724148	96702	-	ENSMUSG00000035109	Shc4	Promoter (<=1kb)
Interval_66182	chr2	127597706	127598712	1007	2	127587222	127606829	19608	+	ENSMUSG00000027374	Mrps5	Promoter (1-2kb)
Interval_66745	chr2	143975259	143976329	1071	2	143947395	144011263	63869	-	ENSMUSG00000027422	Rrbp1	Intron (ENSMUST00000016072.11/ENSMUSG00000027422.15, intron 2 of 23)
Interval_67248	chr2	152815791	152817000	1210	2	152780668	152831728	51061	-	ENSMUSG00000007659	Bcl2l1	Intron (ENSMUST00000007803.11/ENSMUSG00000007659.18, intron 2 of 2)
Interval_67362	chr2	153606541	153607071	531	2	153616933	153632781	15849	-	ENSMUSG00000056941	Commd7	Distal Intergenic
Interval_67666	chr2	156836829	156837245	417	2	156833049	156839892	6844	-	ENSMUSG00000087179	Gm14230	Promoter (2-3kb)
Interval_67962	chr2	160961099	160961752	654	2	160946978	161109075	162098	-	ENSMUSG00000057133	Chd6	Promoter (<=1kb)
Interval_69295	chr2	173748509	173749386	878	2	173737511	173784339	46829	+	ENSMUSG00000054455	Vapb	Intron (ENSMUST00000067530.4/ENSMUSG00000054455.4, intron 1 of 5)
Interval_70119	chr3	15283893	15285565	1673	3	15296551	15332302	35752	-	ENSMUSG00000078783	Gm9733	Distal Intergenic
Interval_70990	chr3	51254730	51255555	826	3	51252720	51340663	87944	-	ENSMUSG00000037174	Elf2	3' UTR
Interval_71246	chr3	53974990	53975562	573	3	53924835	53943528	18694	+	ENSMUSG00000106577	Gm31026	Distal Intergenic
Interval_71379	chr3	58592712	58593188	477	3	58576636	58593133	16498	+	ENSMUSG00000075700	Selenot	3' UTR
Interval_71436	chr3	59160503	59161189	687	3	59005825	59318682	312858	+	ENSMUSG00000056476	Med12l	Intron (ENSMUST00000199659.4/ENSMUSG00000056476.13, intron 15 of 43)
Interval_71902	chr3	79238874	79239592	719	3	79212919	79253913	40995	+	ENSMUSG00000104585	4921511C10Rik	Intron (ENSMUST00000200412.1/ENSMUSG00000104585.1, intron 1 of 2)
Interval_71984	chr3	81963591	81964215	625	3	81957090	81976202	19113	-	ENSMUSG00000028011	Tdo2	Promoter (<=1kb)
Interval_72033	chr3	83921322	83921845	524	3	83897655	84040175	142521	-	ENSMUSG00000033767	Tmem131l	Exon (ENSMUST00000194432.5/ENSMUSG00000033767.14, exon 22 of 22)
Interval_72242	chr3	86635524	86636234	711	3	86224680	86782692	558013	+	ENSMUSG00000028080	Lrba	Intron (ENSMUST00000192145.5/ENSMUSG00000028080.15, intron 44 of 50)
Interval_72410	chr3	88152184	88152661	478	3	88142372	88172086	29715	+	ENSMUSG00000001419	Mef2d	Intron (ENSMUST00000001455.12/ENSMUSG00000001419.17, intron 1 of 10)
Interval_72700	chr3	90427335	90428594	1260	3	90391388	90433622	42235	-	ENSMUSG00000027933	Ints3	Intron (ENSMUST00000071488.7/ENSMUSG00000027933.11, intron 1 of 30)
Interval_73222	chr3	98335592	98336307	716	3	98313170	98339990	26821	-	ENSMUSG00000053398	Phgdh	Promoter (1-2kb)
Interval_73223	chr3	98337093	98338078	986	3	98313170	98339990	26821	-	ENSMUSG00000053398	Phgdh	Promoter (<=1kb)
Interval_73672	chr3	105795950	105796451	502	3	105727267	105801336	74070	-	ENSMUSG00000068798	Rap1a	Intron (ENSMUST00000090678.10/ENSMUSG00000068798.10, intron 1 of 7)
Interval_73680	chr3	105817869	105818840	972	3	105815540	105817357	1818	+	ENSMUSG00000104835	Gm5547	Promoter (1-2kb)
Interval_74416	chr3	123337063	123338328	1266	3	123267455	123365641	98187	+	ENSMUSG00000039234	Sec24d	Promoter (<=1kb)
Interval_74794	chr3	132835862	132836454	593	3	132684144	132841688	157545	+	ENSMUSG00000028030	Tbck	Intron (ENSMUST00000169172.4/ENSMUSG00000028030.12, intron 25 of 25)
Interval_75074	chr3	136744383	136744792	410	3	136670124	136937727	267604	+	ENSMUSG00000028161	Ppp3ca	Intron (ENSMUST00000124206.1/ENSMUSG00000028161.17, intron 1 of 2)
Interval_75075	chr3	136745521	136746081	561	3	136670124	136937727	267604	+	ENSMUSG00000028161	Ppp3ca	Intron (ENSMUST00000124206.1/ENSMUSG00000028161.17, intron 1 of 2)
Interval_75276	chr3	142524036	142524549	514	3	142493978	142522344	28367	+	ENSMUSG00000105504	Gbp5	Distal Intergenic
Interval_7538	chr1	180841561	180842031	471	1	180832769	180832876	108	+	ENSMUSG00000084558	Gm24836	Distal Intergenic
Interval_75387	chr3	144507310	144507997	688	3	144429706	144570181	140476	-	ENSMUSG00000040151	Hs2st1	Intron (ENSMUST00000043325.8/ENSMUSG00000040151.9, intron 1 of 6)
Interval_75497	chr3	146134845	146135668	824	3	146117450	146141806	24357	+	ENSMUSG00000036853	Mcoln3	Intron (ENSMUST00000039450.4/ENSMUSG00000036853.5, intron 8 of 11)
Interval_75516	chr3	146207368	146208121	754	3	146149833	146195513	45681	+	ENSMUSG00000011008	Mcoln2	Distal Intergenic
Interval_75572	chr3	146810568	146811228	661	3	146729574	146812990	83417	-	ENSMUSG00000005034	Prkacb	Promoter (1-2kb)
Interval_75588	chr3	147101105	147102216	1112	3	147096184	147128749	32566	+	ENSMUSG00000103334	Gm29771	Intron (ENSMUST00000193142.1/ENSMUSG00000103334.1, intron 1 of 1)
Interval_75627	chr3	148809232	148810091	860	3	148815583	148990555	174973	-	ENSMUSG00000028184	Adgrl2	Distal Intergenic
Interval_75668	chr3	149393174	149394123	950	3	149284418	149445301	160884	-	ENSMUSG00000106515	Gm30382	Intron (ENSMUST00000199007.4/ENSMUSG00000106515.4, intron 1 of 3)
Interval_75673	chr3	149445063	149445735	673	3	149284418	149445301	160884	-	ENSMUSG00000106515	Gm30382	Promoter (<=1kb)
Interval_75793	chr3	152928616	152929151	536	3	152817081	152982246	165166	-	ENSMUSG00000039037	St6galnac5	Intron (ENSMUST00000161596.5/ENSMUSG00000039047.17, intron 14 of 14)
Interval_75794	chr3	152929401	152930674	1274	3	152817081	152982246	165166	-	ENSMUSG00000039037	St6galnac5	Intron (ENSMUST00000161596.5/ENSMUSG00000039047.17, intron 14 of 14)
Interval_76309	chr4	9640699	9641423	725	4	9448069	9669344	221276	-	ENSMUSG00000028207	Asph	Promoter (1-2kb)
Interval_7633	chr1	181806700	181807400	701	1	181576559	181815774	239216	+	ENSMUSG00000047369	Dnah14	Promoter (<=1kb)
Interval_76576	chr4	20052708	20053573	866	4	20042052	20066750	24699	+	ENSMUSG00000073987	Ggh	Exon (ENSMUST00000098242.3/ENSMUSG00000073987.4, exon 4 of 9)
Interval_78381	chr4	63748070	63748614	545	4	63724603	63745113	20511	-	ENSMUSG00000050395	Tnfsf15	Promoter (2-3kb)
Interval_78613	chr4	84942116	84943015	900	4	84884309	85131921	247613	+	ENSMUSG00000038070	Cntln	Intron (ENSMUST00000047023.12/ENSMUSG00000038070.15, intron 2 of 25)
Interval_78722	chr4	88020258	88020850	593	4	87769925	88033364	263440	-	ENSMUSG00000028496	Mllt3	Intron (ENSMUST00000078090.11/ENSMUSG00000028496.17, intron 2 of 10)
Interval_78892	chr4	95156576	95157126	551	4	95051534	95167318	115785	+	ENSMUSG00000087366	Junos	Exon (ENSMUST00000191391.1/ENSMUSG00000100189.1, exon 2 of 2)
Interval_78957	chr4	95884655	95885604	950	4	95557507	95926939	369433	+	ENSMUSG00000028573	Fggy	Intron (ENSMUST00000079223.10/ENSMUSG00000028573.18, intron 14 of 15)
Interval_78981	chr4	97714347	97715027	681	4	97568133	97778078	209946	-	ENSMUSG00000048747	E130114P18Rik	Intron (ENSMUST00000146447.7/ENSMUSG00000048747.14, intron 2 of 5)
Interval_79004	chr4	98096866	98097433	568	4	97772734	98118874	346141	+	ENSMUSG00000028565	Nfia	Intron (ENSMUST00000075448.12/ENSMUSG00000028565.18, intron 10 of 10)
Interval_79426	chr4	107210293	107211088	796	4	107209180	107218060	8881	+	ENSMUSG00000070877	Ldlrad1	Promoter (1-2kb)
Interval_79776	chr4	115820620	115821504	885	4	115784812	115822655	37844	+	ENSMUSG00000028710	Atpaf1	Promoter (1-2kb)
Interval_80625	chr4	126502624	126503287	664	4	126489541	126533472	43932	-	ENSMUSG00000042500	Ago4	Intron (ENSMUST00000084289.4/ENSMUSG00000042500.11, intron 15 of 17)
Interval_80913	chr4	129702295	129702825	531	4	129703164	129742303	39140	-	ENSMUSG00000028790	Khdrbs1	Distal Intergenic
Interval_80955	chr4	129951502	129951815	314	4	129929249	129957115	27867	+	ENSMUSG00000028784	Spocd1	Exon (ENSMUST00000128007.7/ENSMUSG00000028784.13, exon 4 of 5)
Interval_80956	chr4	129954224	129955686	1463	4	129929249	129957115	27867	+	ENSMUSG00000028784	Spocd1	Exon (ENSMUST00000084263.4/ENSMUSG00000028784.13, exon 7 of 10)
Interval_8109	chr1	189607771	189609285	1515	1	189639350	189640234	885	-	ENSMUSG00000103087	Gm38122	Distal Intergenic
Interval_8138	chr1	189796187	189796917	731	1	189728268	189876695	148428	+	ENSMUSG00000026604	Ptpn14	Intron (ENSMUST00000097442.8/ENSMUSG00000026604.17, intron 2 of 18)
Interval_82592	chr4	145341636	145342500	865	4	145267137	145315164	48028	-	ENSMUSG00000028602	Tnfrsf8	Distal Intergenic
Interval_82872	chr4	148071363	148072072	710	4	148071392	148075420	4029	-	ENSMUSG00000078494	Gm13201	Promoter (<=1kb)
Interval_83186	chr4	150526179	150526650	472	4	150281646	150621966	340321	+	ENSMUSG00000039852	Rere	Intron (ENSMUST00000105682.8/ENSMUSG00000039852.16, intron 10 of 22)
Interval_83217	chr4	150729841	150730529	689	4	150668248	150678792	10545	-	ENSMUSG00000085869	Gm16079	Distal Intergenic
Interval_83307	chr4	151804375	151805343	969	4	150917322	151861876	944555	-	ENSMUSG00000014592	Camta1	Intron (ENSMUST00000169423.8/ENSMUSG00000014592.19, intron 3 of 24)
Interval_83357	chr4	152151980	152152666	687	4	152120331	152152371	32041	-	ENSMUSG00000028943	Espn	Promoter (<=1kb)
Interval_83777	chr4	156069941	156070996	1056	4	156052715	156059802	7088	-	ENSMUSG00000086549	Gm13648	Distal Intergenic
Interval_84308	chr5	17839284	17839939	656	5	17781690	17888801	107112	-	ENSMUSG00000002944	Cd36	Intron (ENSMUST00000170051.7/ENSMUSG00000002944.15, intron 1 of 14)
Interval_8497	chr1	193328941	193330829	1889	1	193207699	193343878	136180	+	ENSMUSG00000026639	Lamb3	Exon (ENSMUST00000194677.5/ENSMUSG00000026639.18, exon 15 of 27)
Interval_85164	chr5	32508865	32509442	578	5	32458843	32517433	58591	+	ENSMUSG00000014956	Ppp1cb	Exon (ENSMUST00000155976.1/ENSMUSG00000085234.1, exon 3 of 4)
Interval_85358	chr5	34695238	34696129	892	5	34679523	34706831	27309	-	ENSMUSG00000107246	Gm42560	Intron (ENSMUST00000074651.10/ENSMUSG00000052783.16, intron 5 of 5)
Interval_85429	chr5	35585774	35586030	257	5	35583040	35615352	32313	+	ENSMUSG00000029098	Acox3	Promoter (2-3kb)
Interval_85457	chr5	35817110	35817590	481	5	35757880	35884973	127094	+	ENSMUSG00000029095	Ablim2	Promoter (2-3kb)
Interval_85871	chr5	44162639	44163564	926	5	44175154	44226626	51473	-	ENSMUSG00000046985	Tapt1	Distal Intergenic
Interval_86319	chr5	64567750	64568151	402	5	64564177	64564819	643	-	ENSMUSG00000104806	Gm42566	Promoter (2-3kb)
Interval_86328	chr5	64640897	64641851	955	5	64635840	64637616	1777	+	ENSMUSG00000104928	Gm42565	Distal Intergenic
Interval_8685	chr10	4455716	4457196	1481	10	4432467	4455141	22675	+	ENSMUSG00000061759	Armt1	Distal Intergenic
Interval_87140	chr5	88499616	88500137	522	5	88487975	88506049	18075	+	ENSMUSG00000029286	Enam	Intron (ENSMUST00000199104.4/ENSMUSG00000029286.12, intron 9 of 9)
Interval_87141	chr5	88508298	88509288	991	5	88487975	88506049	18075	+	ENSMUSG00000029286	Enam	Distal Intergenic
Interval_87377	chr5	93150229	93151217	989	5	93093437	93176447	83011	+	ENSMUSG00000058013	Septin11	Promoter (1-2kb)
Interval_87843	chr5	103725313	103727039	1727	5	103692374	103855322	162949	+	ENSMUSG00000029313	Aff1	Intron (ENSMUST00000126335.1/ENSMUSG00000029313.18, intron 2 of 6)
Interval_88170	chr5	107723681	107726452	2772	5	107716657	107726036	9380	-	ENSMUSG00000029275	Gfi1	Promoter (<=1kb)
Interval_89169	chr5	118037610	118038396	787	5	118027743	118061878	34136	+	ENSMUSG00000029359	Tesc	Promoter (1-2kb)
Interval_90252	chr5	130122230	130122724	495	5	130073326	130135729	62404	+	ENSMUSG00000034118	Tpst1	Intron (ENSMUST00000118993.7/ENSMUSG00000034118.15, intron 3 of 5)
Interval_90677	chr5	136410413	136411350	938	5	136248135	136567490	319356	-	ENSMUSG00000029705	Cux1	Intron (ENSMUST00000148082.1/ENSMUSG00000086220.1, intron 3 of 4)
Interval_9132	chr10	17347704	17348623	920	10	17294698	17332877	38180	-	ENSMUSG00000111922	Gm47760	Distal Intergenic
Interval_91688	chr5	146590733	146591737	1005	5	146586645	146600102	13458	-	ENSMUSG00000105907	Gm34333	Intron (ENSMUST00000200363.1/ENSMUSG00000105907.1, intron 1 of 2)
Interval_92356	chr6	8298664	8299681	1018	6	8259288	8459470	200183	+	ENSMUSG00000089862	Umad1	Intron (ENSMUST00000159335.7/ENSMUSG00000089862.8, intron 2 of 4)
Interval_92376	chr6	8460873	8461438	566	6	8259450	8597480	338031	+	ENSMUSG00000107705	Gm45062	Intron (ENSMUST00000162564.6/ENSMUSG00000107705.1, intron 4 of 10)
Interval_92378	chr6	8485029	8486141	1113	6	8259450	8597480	338031	+	ENSMUSG00000107705	Gm45062	Intron (ENSMUST00000162564.6/ENSMUSG00000107705.1, intron 4 of 10)
Interval_92382	chr6	8498646	8499576	931	6	8259450	8597480	338031	+	ENSMUSG00000107705	Gm45062	Promoter (<=1kb)
Interval_92383	chr6	8504021	8505303	1283	6	8259450	8597480	338031	+	ENSMUSG00000107705	Gm45062	Promoter (2-3kb)
Interval_92387	chr6	8520733	8521425	693	6	8259450	8597480	338031	+	ENSMUSG00000107705	Gm45062	Promoter (<=1kb)
Interval_9245	chr10	18927547	18928259	713	10	18879735	18887029	7295	-	ENSMUSG00000111318	Gm48483	Distal Intergenic
Interval_9298	chr10	19569908	19570840	933	10	19591949	19610229	18281	+	ENSMUSG00000020009	Ifngr1	Distal Intergenic
Interval_93210	chr6	34951388	34952455	1068	6	34945278	34988404	43127	-	ENSMUSG00000029847	Slc23a4	Promoter (2-3kb)
Interval_93233	chr6	35167972	35168529	558	6	35177421	35247596	70176	+	ENSMUSG00000038759	Nup205	Distal Intergenic
Interval_93407	chr6	38871084	38871427	344	6	38694390	38876165	181776	-	ENSMUSG00000061436	Hipk2	Intron (ENSMUST00000161779.7/ENSMUSG00000061436.15, intron 1 of 14)
Interval_93549	chr6	40476035	40476806	772	6	40471352	40484700	13349	+	ENSMUSG00000029911	Ssbp1	Promoter (<=1kb)
Interval_94204	chr6	54751791	54752667	877	6	54681624	54703851	22228	+	ENSMUSG00000038065	Mturn	Distal Intergenic
Interval_94212	chr6	54793796	54794870	1075	6	54816916	54893500	76585	+	ENSMUSG00000058446	Znrf2	Distal Intergenic
Interval_9449	chr10	21226049	21227208	1160	10	21198101	21252114	54014	-	ENSMUSG00000111200	Gm33728	Distal Intergenic
Interval_94682	chr6	70813815	70814862	1048	6	70765720	70792232	26513	-	ENSMUSG00000053604	Rpia	Distal Intergenic
Interval_94688	chr6	70847378	70847709	332	6	70844515	70905245	60731	+	ENSMUSG00000031668	Eif2ak3	Promoter (2-3kb)
Interval_94689	chr6	70855360	70856527	1168	6	70844515	70905245	60731	+	ENSMUSG00000031668	Eif2ak3	Promoter (<=1kb)
